ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2025m2,middle,5.9819856,4.4000902,1.728865,276581,99888,12.530259,11.511805
2025m2,high,6.2178268,4.2346325,2.1509154,470001,43568,13.06049,10.682078
2025m3,zero,6.0575294,4.6594863,1.4926411,738926,187152,13.512953,12.139676
2025m3,middle,5.9793105,4.5294647,1.5958484,275471,95795,12.526237,11.469966
2025m3,high,6.2141309,4.3128581,2.0757363,467776,47585,13.055745,10.770273
2025m4,zero,6.042347,4.5648165,1.5448381,727512,177968,13.497386,12.089359
2025m4,middle,5.9669895,4.3779783,1.6874369,271436,92970,12.511481,11.440032
2025m4,high,6.2031374,4.2693257,2.1016057,462628,43985,13.044679,10.691604
2025m5,zero,6.0221286,4.6098495,1.5054822,712549,205621,13.476604,12.23379
2025m5,middle,5.9500499,4.475224,1.5975273,265851,112171,12.490691,11.62778
2025m5,high,6.1913905,4.2383146,2.0976472,456639,46871,13.031649,10.755155
2025m6,zero,6.00318,4.5549822,1.4980731,698376,212133,13.456512,12.264969
2025m6,middle,5.9379334,4.5092244,1.6268901,263173,107905,12.480567,11.589006
2025m6,high,6.1818213,4.2849288,2.0641916,452274,47583,13.022043,10.770231
2025m7,zero,6.0023513,4.6315427,1.4090354,689801,243561,13.444159,12.403123
2025m7,middle,5.9661055,4.4673243,1.6823319,263042,100256,12.480069,11.515482
2025m7,high,6.1957073,4.270298,2.0871372,453669,48977,13.025124,10.799106
2025m8,zero,6.0095968,4.2665181,1.8099202,689060,170125,13.443084,12.044289
2025m8,middle,5.9681406,4.1372447,1.9947766,263741,73282,12.482723,11.20207
2025m8,high,6.2088652,3.7904928,2.5777004,457127,32110,13.032717,10.376923
2025m9,zero,5.9988375,4.6889391,1.340115,686616,234666,13.43953,12.365918
2025m9,middle,5.8670058,4.5626459,1.420207,248921,117143,12.424891,11.671151
2025m9,high,6.193903,4.3452697,1.9362042,454412,54049,13.026759,10.897646
2025m10,zero,6.0358691,4.7524886,1.3379916,692300,235461,13.447775,12.369301
