category,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
<18,2023-06,2023-06-01,high,1.5903041298131928,1.9956231706737004,-0.28281646933182886
<18,2023-06,2023-06-01,middle,1.9400967019564828,2.505125153711283,-0.6329295167003872
<18,2023-06,2023-06-01,zero,2.0493259450413204,2.2256066786536137,-0.42346110897812317
<18,2023-07,2023-07-01,high,1.576226616742665,2.016359804077437,-0.47136075216536294
<18,2023-07,2023-07-01,middle,1.9422718148665088,2.5089094146149664,-0.6819859752962202
<18,2023-07,2023-07-01,zero,1.9646374293808624,2.2683019142265515,-0.7198912983915263
<18,2023-08,2023-08-01,high,1.510582519739522,1.777975031832764,-0.07604786862385954
<18,2023-08,2023-08-01,middle,1.8419557771938362,2.0470394462012815,-0.12380488146058082
<18,2023-08,2023-08-01,zero,1.9289528551542854,2.1171323666717785,-0.12449376896067466
<18,2023-09,2023-09-01,high,1.592134898500571,1.5386554360187457,0.08483176387211773
<18,2023-09,2023-09-01,middle,1.9676558240500477,2.2721200912629174,0.09056972724092083
<18,2023-09,2023-09-01,zero,1.9093465425691716,1.8816338447171883,0.12159371549227789
<18,2023-10,2023-10-01,high,1.5714654323370663,1.736450841557635,0.06542359457859655
<18,2023-10,2023-10-01,middle,1.9565213206038914,2.4060484510465066,-0.3272394493202467
<18,2023-10,2023-10-01,zero,1.9277686559311793,1.8715533415573098,0.30036330610425266
<18,2023-11,2023-11-01,high,1.6737121926785472,1.6679921286954658,0.24295093350054617
<18,2023-11,2023-11-01,middle,1.9549222557765191,2.1495555725332114,-0.025749678293497343
<18,2023-11,2023-11-01,zero,1.9410897486553327,1.581215232104487,0.40500511406068124
<18,2023-12,2023-12-01,high,1.643358837262571,1.5256450196969558,0.2759489032995675
<18,2023-12,2023-12-01,middle,2.001081303659541,2.323220310019853,0.01555655591719676
<18,2023-12,2023-12-01,zero,1.883855037312433,1.5450392456584212,0.4295998119161727
<18,2024-01,2024-01-01,high,1.362180752476517,1.4667907076150644,0.3336897832915066
<18,2024-01,2024-01-01,middle,1.9828157515052656,2.2976690039906584,0.11210100948164946
<18,2024-01,2024-01-01,zero,1.9152200210409036,1.6651381625849357,0.44968690543195355
<18,2024-02,2024-02-01,high,1.446035751651916,1.5675866389343471,0.2584099271033829
<18,2024-02,2024-02-01,middle,2.0509326711079683,2.0731162233453406,0.45460997394511926
<18,2024-02,2024-02-01,zero,1.7947070727176946,1.7036531878096517,0.43063013555712687
<18,2024-03,2024-03-01,high,1.426614064133643,1.6395369576724785,0.23468150390045692
<18,2024-03,2024-03-01,middle,2.089824054701741,2.2404011094631224,0.4598199722036145
<18,2024-03,2024-03-01,zero,1.885045349685221,1.7175621176551208,0.5043086414010302
<18,2024-04,2024-04-01,high,1.4062770724460913,1.5689622805463161,0.28044710787347904
<18,2024-04,2024-04-01,middle,2.199734846406634,2.276986954619417,0.2668424836382715
<18,2024-04,2024-04-01,zero,1.8414527832427412,1.6685972702845462,0.47429672256303074
<18,2024-06,2024-06-01,high,1.5185805664814063,1.7718712523103355,-0.18747428261478305
<18,2024-06,2024-06-01,middle,2.1979097939264216,2.4171532316602566,-0.471093143083326
<18,2024-06,2024-06-01,zero,1.8981705313090527,2.2168631401259287,-0.4768287779938613
<18,2024-07,2024-07-01,high,1.5110364270043135,2.0049779287047556,-0.5038194919980219
<18,2024-07,2024-07-01,middle,2.131114358547297,2.518085861687055,-0.7760642135213779
<18,2024-07,2024-07-01,zero,1.9649549405177567,2.4443994826281092,-0.7813999684232129
<18,2024-08,2024-08-01,high,1.5609008752799838,1.9605296153011504,0.15298006692624105
<18,2024-08,2024-08-01,middle,2.0026170829548975,2.3950334660477206,-0.17620171841298743
<18,2024-08,2024-08-01,zero,1.9606283682654198,1.900436595805309,-0.001656799431282383
<18,2024-09,2024-09-01,high,1.5629061437612397,1.609130776195184,0.4541560780711331
<18,2024-09,2024-09-01,middle,2.115951992852151,2.3349780943934313,-0.16602456989682013
<18,2024-09,2024-09-01,zero,2.187193596074939,1.9548160135242036,0.23635978942609628
<18,2024-10,2024-10-01,high,1.6076055018988071,1.7283727437768515,0.18768380412141067
<18,2024-10,2024-10-01,middle,2.1577057803407476,2.4710455736452213,-0.15922131480077997
<18,2024-10,2024-10-01,zero,2.06517790323512,1.8810800986690994,0.29863472129830526
<18,2024-11,2024-11-01,high,1.4427239490641948,1.572788966233421,0.4606669570071093
<18,2024-11,2024-11-01,middle,2.0477339614013497,2.438089005594158,0.08390817188692262
<18,2024-11,2024-11-01,zero,1.9698739123772164,1.690972771236173,0.5216000086041375
