term,beta_log_points,se,p_value_normal,ci95_low,ci95_high,effect_pct,event_time,pretrend_wald_chi2,pretrend_df,pretrend_p_value,nobs,clusters,fe_cols,fe_groups
event_p8,0.02951026618465755,0.02087029574585281,0.15736657328017944,-0.011395513477213955,0.07041604584652905,2.995000907459766,8,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p9,0.02402642224200552,0.024339168778064912,0.3235688719023919,-0.02367834856300171,0.07173119304701275,2.4317382294834378,9,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p10,0.020106864404241195,0.021722664827484132,0.3546451379657185,-0.022469558657627706,0.0626832874661101,2.0310369060721367,10,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p11,0.023200906397462064,0.02084364731267121,0.26566872710584666,-0.01765264233537351,0.06405445513029764,2.3472140993952895,11,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p12,0.030693595144638562,0.025144103487698917,0.22219679555537253,-0.018588847691251312,0.07997603798052844,3.1169500134911043,12,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p13,0.03518242750866085,0.027073367245621895,0.19376496044515634,-0.01788137229275806,0.08824622731007976,3.5808651556673787,13,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p14,0.039121285370359915,0.027448830080489258,0.15408662897248515,-0.01467842158739903,0.09292099232811886,3.989660024625108,14,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p15,0.04061067861495958,0.025371295772119124,0.10945346520084231,-0.0091170610983939,0.09033841832831306,4.144656918785183,15,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p16,0.023295658239831474,0.02619122763562197,0.37376393317078227,-0.028039147925987582,0.07463046440565053,2.356912145939205,16,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p17,0.02330124478270563,0.02947590528502543,0.42922509470556003,-0.03447152957594421,0.08107401914135548,2.357483968814633,17,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p18,0.00938340656772663,0.03377198377662827,0.7811306697254763,-0.05680968163446477,0.07557649476991803,0.9427568749624582,18,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p19,0.015722711844909143,0.035868981554602684,0.6611418045274973,-0.05458049200211211,0.0860259156919304,1.5846964018390697,19,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p20,0.008995964768375171,0.038179746259289736,0.8137264762414032,-0.0658363378998327,0.08382826743658306,0.903655006945514,20,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p21,0.00044264143550822727,0.03819832219401806,0.9907543357125455,-0.07442607006476717,0.07531135293578362,0.044273941568451214,21,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p22,-0.006938584275634575,0.04423102811321177,0.8753461829272753,-0.09363139937752965,0.07975423082626049,-0.691456787846112,22,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
