panel,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
all,2025-06,2025-06-01,high,6.80208186847812,5.724662057548331,1.1256432411348674
all,2025-06,2025-06-01,middle,6.4780287633685845,5.783903255787199,0.72959798517565
all,2025-06,2025-06-01,zero,6.51375702995365,5.98519801184429,0.5540654790332635
all,2025-07,2025-07-01,high,6.831909373349961,5.729743713195964,1.126582472974004
all,2025-07,2025-07-01,middle,6.50132070901031,5.871801616084567,0.6957842242598973
all,2025-07,2025-07-01,zero,6.519711053936839,6.011775555594274,0.5339481029933649
all,2025-08,2025-08-01,high,6.853034531155013,5.348660233402515,1.6236361253344471
all,2025-08,2025-08-01,middle,6.5208281236407055,5.486248774155277,1.1414197302501798
all,2025-08,2025-08-01,zero,6.53842162951801,5.602088487891724,0.9626397255413607
all,2025-09,2025-09-01,high,6.845231479603333,5.893684698106687,1.0086399294569763
all,2025-09,2025-09-01,middle,6.4795563232334095,5.960209988795812,0.5589407930619819
all,2025-09,2025-09-01,zero,6.530062800461843,6.050782138409576,0.5044010600917226
all,2025-10,2025-10-01,high,6.852539841732,5.833435919892912,1.0772435828934397
all,2025-10,2025-10-01,middle,6.526434496038846,5.917142743130215,0.6442047361239743
all,2025-10,2025-10-01,zero,6.574551758153264,6.027507837961122,0.5729420886901107
all,2025-11,2025-11-01,high,6.849796308469488,5.808680133151699,1.1826936085193591
all,2025-11,2025-11-01,middle,6.507852666606076,5.739010367690269,0.8478656197874158
all,2025-11,2025-11-01,zero,6.5462468806711405,5.855754362655888,0.7209027861483682
all,2025-12,2025-12-01,high,6.841332443872328,5.528355384288506,1.397819348851148
all,2025-12,2025-12-01,middle,6.508795793694006,5.592089344331057,0.9851818293406188
all,2025-12,2025-12-01,zero,6.5539844523819895,5.620300394817417,0.9426662996726428
all,2026-01,2026-01-01,high,6.8508305273077985,5.66705789420227,1.2443457990519435
all,2026-01,2026-01-01,middle,6.516849030437681,5.794658142711139,0.8663803470726661
all,2026-01,2026-01-01,zero,6.556250915898646,5.7914378259501875,0.7648130899484592
all,2026-02,2026-02-01,high,6.854388262218802,5.745068855671788,1.2633328934216694
all,2026-02,2026-02-01,middle,6.505754424438315,5.666735989484234,0.885894299824068
all,2026-02,2026-02-01,zero,6.549334113314951,5.778957459138522,0.7970174906661505
all,2026-03,2026-03-01,high,6.860443306769609,5.775756399232646,1.1670840390284978
all,2026-03,2026-03-01,middle,6.4944625424921645,5.768881407612188,0.7611861429510437
all,2026-03,2026-03-01,zero,6.538990497692736,5.892355494117316,0.6579190182143851
