cno4,occupation_title,exposure_nearest,exposure_weighted,exposure_rf,exposure_group,mean_parados,mean_contratos,pre_mean_parados,cno2,treat,control,nearest_anthropic_title,nearest_anthropic_observed_exposure,nearest_cosine_similarity,match_review_flag,weighted_match_rows
2435,Ingenieros químicos,0.0,0.0,0.1323166824458874,zero,609.0952380952381,132.20634920634922,749.3809523809524,24,False,True,,,,,
2461,Ingenieros técnicos industriales y de producción,0.0,0.0,0.0688101526190476,zero,492.95238095238096,436.0,569.3333333333334,24,False,True,,,,,
2422,Ingenieros agrónomos,0.0,0.0513,0.0530133513492063,zero,480.6507936507937,111.38095238095238,556.2857142857143,24,False,True,,,,,
2473,Ingenieros técnicos en telecomunicaciones,0.0,0.0,0.0721691557142857,zero,480.44444444444446,74.92063492063492,498.57142857142856,24,False,True,,,,,
2465,Ingenieros técnicos químicos,0.0,0.0,0.147802029126984,zero,307.1269841269841,26.23809523809524,394.3333333333333,24,False,True,,,,,
2483,Ingenieros técnicos en topografía,0.0,0.0022,0.0592762701587301,zero,255.33333333333331,71.96825396825396,368.7619047619048,24,False,True,,,,,
2466,"Ingenieros técnicos de minas, metalúrgicos y afines",0.0,0.0,0.1072239122222222,zero,252.6031746031746,22.571428571428573,325.4761904761905,24,False,True,,,,,
2464,Ingenieros técnicos aeronáuticos,0.0,0.0,0.0568297563492063,zero,207.8095238095238,51.44444444444444,280.5238095238095,24,False,True,,,,,
2436,"Ingenieros de minas, metalúrgicos y afines",0.0,0.0,0.0886524197619048,zero,189.11111111111111,40.04761904761905,253.7619047619048,24,False,True,,,,,
2423,Ingenieros de montes,0.0,0.0,0.053989778015873,zero,131.20634920634922,27.53968253968254,171.0952380952381,24,False,True,,,,,
2452,Arquitectos paisajistas,0.0,0.0,0.0600641834920635,zero,29.41269841269841,9.444444444444445,28.285714285714285,24,False,True,,,,,
