cno2,event_time,estimate,se,ci95_low,ci95_high
24,-20,-0.05102403575457526,0.06357335226792109,-0.1756278061997006,0.07357973469055007
24,-19,-0.042696218911104644,0.06617718341715113,-0.17240349840872085,0.08701106058651156
24,-18,-0.02125422975646618,0.06294074990252081,-0.14461809956540697,0.10210964005247461
24,-17,-0.01998066581945495,0.0611629359162878,-0.13986002021537902,0.09989868857646914
24,-16,-0.04105553530757722,0.06079565695974165,-0.16021502294867085,0.07810395233351641
24,-15,-0.016388607177051817,0.05095927240844392,-0.1162687810976019,0.08349156674349827
24,-14,-0.04753362399270378,0.03441661867676235,-0.11499019659915799,0.019922948613750435
24,-13,-0.02197398098848731,0.038391142171301754,-0.09722061964423874,0.05327265766726412
24,-12,-0.03833239966724522,0.06560354411904835,-0.16691534614057998,0.09025054680608954
24,-11,0.006538922896499599,0.06863781242845321,-0.12799118946326868,0.14106903525626788
24,-10,0.0049556030025357245,0.06583854410182702,-0.12408794343704524,0.1339991494421167
24,-9,-0.03736492213630183,0.05878868140949298,-0.15259073769890807,0.0778608934263044
24,-8,0.017352589674654473,0.061265408616829616,-0.10272761121433158,0.13743279056364052
24,-7,0.020975196472281743,0.06591940681985994,-0.10822684089464374,0.15017723383920722
24,-6,0.04661298079773846,0.05828185568133647,-0.06761945633768102,0.16084541793315793
24,-5,0.04230222576033878,0.06383329667456,-0.08281103572179883,0.1674154872424764
24,-4,0.017801829369976874,0.07140370797948264,-0.12214943826980912,0.15775309700976287
24,-3,0.03205022724476847,0.060440429433899774,-0.08641301444567509,0.15051346893521203
24,-2,0.010481926684480225,0.039366400410206004,-0.06667621811952354,0.08764007148848399
24,-1,0.0,,,
24,0,0.015559025240891033,0.02442807021957545,-0.03231999238947685,0.06343804287125893
24,1,0.0268185948444728,0.03295395401534409,-0.03777115502560162,0.09140834471454722
24,2,0.05019286997897665,0.037876671448165464,-0.024045406059427663,0.12443114601738096
24,3,0.07740811492291813,0.041135749931569904,-0.0032179549429588727,0.15803418478879513
24,4,0.08459440828831499,0.05022920354746515,-0.013854830664716697,0.1830436472413467
24,5,0.10422166872371763,0.054456618404000796,-0.002513303348123927,0.2109566407955592
24,6,0.12399678972091455,0.06602447648593268,-0.005411184191513513,0.25340476363334263
24,7,0.0975183444805767,0.07253864424700072,-0.04465739824354473,0.23969408720469812
24,8,0.11053037199446258,0.07714152589507796,-0.040667018759890206,0.2617277627488154
24,9,0.13735361935200951,0.07450268240826176,-0.008671638168183532,0.28337887687220253
24,10,0.1357051981837225,0.052917414128109574,0.03198706649262774,0.2394233298748173
24,11,0.12354628698634126,0.05163306559841662,0.022345478413444683,0.22474709555923783
24,12,0.13977823588463323,0.05000198129687752,0.04177435254275329,0.23778211922651316
24,13,0.1490933913281023,0.05362420456502742,0.04398995038064854,0.254196832275556
24,14,0.1950342994321913,0.06486598093301009,0.06789697680349152,0.3221716220608911
24,15,0.1840327622393516,0.06809287619521845,0.05057072489672346,0.3174947995819798
24,16,0.19769033015699888,0.07595199016445842,0.048824429434660394,0.3465562308793374
24,17,0.18745511314989716,0.08208786157991316,0.026562904453267366,0.34834732184652695
24,18,0.1649624085133996,0.08094665941796342,0.0063069560541913205,0.3236178609726079
24,19,0.18670347787947153,0.09143255511342545,0.007495669857157661,0.3659112859017854
24,20,0.1490020931798569,0.08968254351034885,-0.026775692100426823,0.32477987846014067
24,21,0.18192567786402325,0.0908366985920431,0.003885748623618762,0.3599656071044277
24,22,0.11875455672308455,0.07049322069363245,-0.019412155836435047,0.25692126928260417
24,23,0.12662427823375305,0.06942519752686549,-0.009449108918903298,0.2626976653864094
24,24,0.1061561099091155,0.07819021077296302,-0.047096703205892015,0.259408923024123
24,25,0.11464764903899871,0.0913906842064564,-0.06447809200565582,0.2937733900836532
24,26,0.14990962805213015,0.08935293727549366,-0.025222129007837435,0.32504138511209774
24,27,0.13426089253156187,0.0863931092924161,-0.03506960168157369,0.30359138674469743
24,28,0.16192679205686222,0.08322040035135306,-0.001185192631789761,0.3250387767455142
24,29,0.17480906561717235,0.08841714772042814,0.0015114560851332004,0.3481066751492115
24,30,0.15654197920556834,0.09600158146303833,-0.031621120461986785,0.34470507887312346
24,31,0.12396627408786162,0.09589404386974995,-0.06398605189684828,0.31191860007257155
24,32,0.11680945053178826,0.09488957314305822,-0.06917411282860586,0.3027930138921824
24,33,0.09392660613032766,0.09160258178836764,-0.0856144541748729,0.2734676664355282
24,34,0.07821096890558099,0.08831480942066576,-0.0948860575589239,0.25130799537008586
24,35,0.06402367823346614,0.08910883339380954,-0.11062963521840055,0.23867699168533282
24,36,0.08445233021760767,0.09545834576916258,-0.10264602748995097,0.27155068792516635
24,37,0.08908027799562523,0.10090846302535389,-0.1087003095340684,0.28686086552531886
24,38,0.10173197900049025,0.10070155250045906,-0.09564306390040953,0.29910702190139005
24,39,0.0396492107753982,0.09459155278012117,-0.1457502326736393,0.2250486542244357
24,40,0.08717499004385965,0.0927502029837404,-0.09461540780427152,0.2689653878919908
24,41,0.07685557615948624,0.09647929848882736,-0.11224384887861538,0.26595500119758786
24,42,0.06676652110027548,0.1023461705415254,-0.13383197316111428,0.26736501536166524
59,-20,0.1510473882913459,0.1502621649259214,-0.14346645496346005,0.44556123154615185
59,-19,0.06595835685182787,0.12960654242301403,-0.18807046629727964,0.3199871800009354
59,-18,0.023576003110398123,0.11805018055311482,-0.20780235077370693,0.2549543569945032
59,-17,-0.03227463307786278,0.11130827943746047,-0.25043886077528527,0.18588959461955973
59,-16,-0.028076381248890885,0.10695280277878327,-0.2377038746953061,0.18155111219752432
59,-15,-0.0004154893383627989,0.061087135240076806,-0.12014627440891334,0.11931529573218774
59,-14,-0.0023042186455966866,0.102415696214577,-0.2030389832261676,0.19843054593497422
59,-13,-0.013758620308441272,0.07198174106778714,-0.15484283280130406,0.12732559218442152
59,-12,0.006710778201360958,0.0910591761722983,-0.1717652070963437,0.18518676349906563
59,-11,-0.034707833146400385,0.13839532189418086,-0.30596266405899486,0.23654699776619406
59,-10,0.021678470361056836,0.11984336037230386,-0.21321451596865873,0.2565714566907724
59,-9,0.0314864192691226,0.1201091564882901,-0.203927527447926,0.2669003659861712
59,-8,0.13253276906268102,0.11290925155401983,-0.08876936398319785,0.3538349021085599
59,-7,0.10428468559073936,0.11348745351212418,-0.11815072329302403,0.3267200944745028
59,-6,0.0990632467147181,0.0726600254374393,-0.04335040314266293,0.24147689657209914
59,-5,-0.14736332899017796,0.13818171983400984,-0.41819949986483723,0.12347284188448132
59,-4,-0.1341597562060525,0.11728735497436812,-0.36404297195581403,0.09572345954370903
59,-3,-0.318961013423064,0.16401947718646803,-0.6404391887085413,0.002517161862413353
59,-2,-0.08310649550047026,0.058252085273390146,-0.19728058263631496,0.031067591635374425
59,-1,0.0,,,
59,0,0.12529313967443048,0.06546908939190346,-0.003026275533700301,0.2536125548825613
59,1,0.1431222720857096,0.06778940692258421,0.010255034517444556,0.2759895096539746
59,2,0.14231215197498798,0.12816710744930634,-0.10889537862565246,0.3935196825756284
59,3,0.129697909566875,0.17935827446784622,-0.2218443083901036,0.4812401275238536
59,4,0.0488523288281084,0.16629650042605537,-0.2770888120069601,0.37479346966317695
59,5,0.04157972001043248,0.1424153415708812,-0.23755434946849469,0.32071378948935964
59,6,0.11885199620643777,0.10866389935582815,-0.0941292465309854,0.33183323894386096
59,7,0.17371066559044568,0.1132743261785899,-0.048307013719590536,0.3957283449004819
59,8,0.18211141182681825,0.10297289340959946,-0.019715459255996687,0.38393828290963317
59,9,0.2754217150208966,0.11859796990295837,0.04296969401109818,0.507873736030695
59,10,0.1608888896006633,0.07162657769525489,0.020500797317963726,0.3012769818833629
59,11,0.13529946233832324,0.05311608445694468,0.03119193680271168,0.2394069878739348
59,12,0.22964084144342345,0.12585605209261258,-0.0170370206580972,0.4763187035449441
59,13,0.2670732523448871,0.1668047687373183,-0.059864094380256805,0.5940105990700311
59,14,0.21258257357781438,0.1329374369630116,-0.04797480286968839,0.47313995002531717
59,15,0.1727260080567416,0.1402176249469951,-0.10210053683936882,0.447552552952852
59,16,0.1350117462969426,0.14296766924091112,-0.1452048854152432,0.4152283780091284
59,17,0.26578931521673527,0.15941311569781305,-0.046660391550978286,0.5782390219844489
59,18,0.2385652391932218,0.17178677976967616,-0.09813684915534343,0.575267327541787
59,19,0.2635026510782008,0.1940765245247951,-0.11688733699039755,0.6438926391467992
59,20,0.2952649684510179,0.23912166301852375,-0.17341349106528864,0.7639434279673245
59,21,0.23768477076904196,0.20117265917359686,-0.15661364121120788,0.6319831827492918
59,22,0.23835260547259973,0.25311694140389773,-0.2577565996790398,0.7344618106242393
59,23,0.35859536088495925,0.18437066812138675,-0.0027711486329587975,0.7199618704028773
59,24,0.36125882247692764,0.21989329611809716,-0.0697320379145428,0.792249682868398
59,25,0.2185872932174728,0.07027571129048626,0.08084689908811973,0.35632768734682585
59,26,0.05688331544635207,0.1075731698991388,-0.15396009755595996,0.26772672844866413
59,27,0.02779725549995704,0.09778743265585867,-0.16386611250552593,0.21946062350544002
59,28,0.10288514222057604,0.07886818528125027,-0.05169650093067449,0.25746678537182655
59,29,0.17216774150838368,0.08474279513754614,0.006071863038793257,0.3382636199779741
59,30,0.23261010362607568,0.11127282933230595,0.014515358134756018,0.45070484911739533
59,31,0.28535442458013327,0.12782989432617592,0.03480783170082846,0.5359010174594381
59,32,0.31005033913465857,0.10469160657428331,0.1048547902490633,0.5152458880202538
59,33,0.3048841212265599,0.08720016812949011,0.13397179169275927,0.4757964507603605
59,34,0.4580838338416186,0.10397026674598106,0.25430211101949574,0.6618655566637415
59,35,0.40573282750952433,0.10445669729689527,0.2009977008076096,0.6104679542114391
59,36,0.4564719021087236,0.13665231763873362,0.18863335953680577,0.7243104446806414
59,37,0.34551250717075044,0.23065139797385178,-0.10656423285799904,0.7975892471994999
59,38,0.43265655865256153,0.19668626739444828,0.04715147455944291,0.8181616427456802
59,39,0.39028374526891346,0.18891311607581054,0.020014037760324788,0.7605534527775022
59,40,0.2980462328894645,0.22095876383576296,-0.13503294422863088,0.7311254100075599
59,41,0.28044750763825776,0.14863328150110156,-0.010873724103901306,0.5717687393804168
59,42,0.34496201396371784,0.14424855419818625,0.062234847735272825,0.6276891801921629
