term,beta_log_points,se,p_value_normal,ci95_low,ci95_high,effect_pct,event_time,pretrend_wald_chi2,pretrend_df,pretrend_p_value,nobs,clusters,fe_cols,fe_groups
event_p13,0.04068377072611724,0.07111698851190776,0.5672757420847487,-0.09870552675722197,0.18007306820945643,4.15226934982611,13,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p14,0.05704193278409372,0.0678700972604935,0.4006519169665528,-0.07598345784647353,0.19006732341466098,5.870020371178808,14,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p15,0.036990800011879134,0.06310930441384552,0.5577823715231789,-0.08670343663925809,0.16068503666301634,3.7683474118607174,15,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p16,0.04294346709993078,0.06432819626882781,0.504409173762369,-0.08313979758697174,0.16902673178683328,4.387887968208948,16,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p17,0.010898325184432622,0.07272129307449134,0.8808716834342605,-0.13163540924157038,0.15343205961043563,1.0957928258116034,17,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p18,0.018319219195877146,0.0744323440350793,0.8055900623145431,-0.12756817511287827,0.16420661350463256,1.8488045437768497,18,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p19,0.028031594293601678,0.0774262987679226,0.7173204302587433,-0.12372395129152662,0.17978713987872996,2.842817636989481,19,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p21,-0.0027429149955541534,0.0796696381895199,0.9725353685739051,-0.15889540584701314,0.15340957585590484,-0.2739156641285101,21,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p22,-0.0062899639634083435,0.08706851758439813,0.9424096858435174,-0.17694425842882866,0.164364330502012,-0.6270223550591703,22,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p23,0.021868160454590172,0.09243071962064554,0.8129750760899366,-0.1592960500018751,0.20303237091105544,2.2109021198355006,23,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p24,0.024288580609508545,0.09441669551977457,0.7969867225626737,-0.1607681426092496,0.20934530382826672,2.4585950869793205,24,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p25,0.03323544322514253,0.09649248298961483,0.7305187436792335,-0.15588982343450253,0.22236070988478757,3.379391036252888,25,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p26,0.019597952550549434,0.09186289351110749,0.8310624311603214,-0.16045331873122123,0.19964922383232012,1.979125312279284,26,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p27,0.0033804473543939265,0.08888630387279382,0.9696628548585207,-0.17083670823628194,0.17759760294506982,0.3386167510297744,27,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p28,0.02775921150730056,0.09325204828455488,0.7659478860780564,-0.155014803130427,0.21053322614502815,2.814808838500915,28,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p29,0.06405926663437739,0.09550615705264483,0.5023897330265692,-0.12313280118880646,0.2512513344575612,6.615558434229496,29,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p30,0.06006038319535983,0.09578085713437465,0.530619639500266,-0.12767009678801447,0.24779086317873414,6.1900665564825985,30,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p31,0.06544967134443055,0.09435513661566804,0.4879001947614756,-0.11948639642227879,0.2503857391111399,6.763900312566373,31,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p32,0.05753814087310458,0.09626055018437027,0.5500178707812247,-0.13113253748826115,0.2462088192344703,5.922566967615661,32,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p33,0.0257552586238805,0.10061193189838605,0.7979615507264628,-0.17144412789695615,0.22295464514471716,2.6089791112897665,33,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p34,0.029525886242279597,0.10058090350711052,0.769099036662626,-0.16761268463165702,0.2266644571162162,2.9966097078734544,34,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p35,0.014345532491323502,0.09716092994369321,0.8826212580263422,-0.1760898901983152,0.2047809551809622,1.4448923450407714,35,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p36,0.029611267325930116,0.09818114513396384,0.7629582973974833,-0.162823777136639,0.22204631178849923,3.005404045452331,36,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p37,0.042896561132914825,0.10109003305512212,0.6713177523938982,-0.15523990365512455,0.24103302592095419,4.382991668212788,37,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p38,0.007308017946338776,0.10020402551290547,0.941860722129944,-0.18909187205895595,0.20370790795163352,0.733478667855092,38,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p39,0.017959613404864336,0.1054588313529872,0.8647744019681609,-0.1887396960469906,0.22465892285671923,1.8121857084224091,39,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p40,0.03228312100373141,0.1096759347560949,0.7684904025626591,-0.1826817111182146,0.2472479531256774,3.280987408350877,40,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p41,-0.005488064798192092,0.10548540291549928,0.9585073629011991,-0.21223945451257067,0.2012633249161865,-0.5473032881859408,41,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p42,0.026500599382531947,0.10561034713567409,0.8018697305906362,-0.18049568100338928,0.23349687976845315,2.6854862740365304,42,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
